game_id,nba_game_id,game_date,season,season_type,home_score,away_score,home_team_id,away_team_id,home_team,away_team,home_avg_points,home_off_rating,home_def_rating,home_pace,home_fg_pct,home_fg3_pct,home_3pt_rate,home_win_pct,home_home_avg_pts,home_home_avg_pts_allowed,away_avg_points,away_off_rating,away_def_rating,away_pace,away_fg_pct,away_fg3_pct,away_3pt_rate,away_win_pct,away_away_avg_pts,away_away_avg_pts_allowed,pace_differential,home_rest_days,away_rest_days,rest_advantage,home_back_to_back,away_back_to_back,h2h_home_avg_score,h2h_away_avg_score,h2h_home_win_pct,h2h_games_count
3617,0022300028,2023-11-17,2023-24,Regular Season,99,120,28,16,WAS,NYK,115.0,110.14,116.05,104.35,0.4805,0.3606,1.0,0.2,113.5,,109.6,113.4,107.92,97.1,0.4394,0.3605,1.0,0.6,106.83,,7.25,2,2,0,0,0,115.0,109.6,0.5,0
3613,0022300027,2023-11-17,2023-24,Regular Season,99,130,30,13,CHA,MIL,115.0,113.58,120.57,101.35,0.478,0.3225,1.0,0.3,111.4,,116.9,115.42,116.26,101.35,0.4795,0.3688,1.0,0.6,117.8,,0.0,3,2,1,0,0,115.0,116.9,0.5,0
3611,0022300034,2023-11-17,2023-24,Regular Season,115,110,4,7,NOP,DEN,111.1,109.48,114.82,101.6,0.4597,0.3414,1.0,0.4,113.83,,114.0,117.01,108.41,97.75,0.5049,0.3493,1.0,0.8,107.25,,3.85,3,3,0,0,0,111.1,114.0,0.5,0
3610,0022300033,2023-11-17,2023-24,Regular Season,97,103,5,17,CHI,ORL,109.4,111.12,113.94,97.47,0.4503,0.3667,1.0,0.3,113.0,,107.5,107.76,108.62,99.95,0.4435,0.3348,1.0,0.5,103.67,,2.48,2,2,0,0,0,94.0,96.0,0.0,1
3614,0022300030,2023-11-17,2023-24,Regular Season,108,100,3,29,CLE,DET,110.2,110.32,112.27,99.9,0.4679,0.3309,1.0,0.4,106.0,,111.4,111.27,117.6,100.35,0.471,0.3683,1.0,0.1,113.5,,0.45,3,3,0,0,0,110.2,111.4,0.5,0
3615,0022300035,2023-11-17,2023-24,Regular Season,128,131,26,20,UTA,PHX,114.0,112.09,116.69,101.65,0.4641,0.3733,1.0,0.4,120.25,,114.3,114.96,113.54,98.82,0.4708,0.3819,1.0,0.5,107.75,,2.83,3,3,0,0,0,114.0,114.3,0.5,0
3609,0022300202,2023-11-18,2023-24,Regular Season,108,122,30,16,CHA,NYK,113.3,112.04,122.61,101.25,0.4687,0.3159,1.0,0.2,108.0,,109.0,114.28,107.46,95.75,0.4411,0.3571,1.0,0.6,105.83,,5.5,1,1,0,1,1,113.3,109.0,0.5,0
3608,0022300205,2023-11-18,2023-24,Regular Season,132,125,13,6,MIL,DAL,118.9,117.26,113.66,101.35,0.4893,0.3813,1.0,0.7,117.5,,123.0,120.61,116.67,101.85,0.4837,0.4001,1.0,0.7,122.0,,0.5,3,3,0,0,0,118.9,123.0,0.5,0
3607,0022300206,2023-11-18,2023-24,Regular Season,108,120,23,27,SAS,MEM,109.2,105.47,120.86,102.38,0.456,0.3585,1.0,0.1,114.75,,108.9,107.41,114.38,100.64,0.4314,0.3423,1.0,0.2,108.67,,1.74,1,4,-3,1,0,109.2,108.9,0.5,0
3606,0022300207,2023-11-18,2023-24,Regular Season,123,130,8,24,GSW,OKC,113.2,112.88,113.55,100.25,0.4424,0.3463,1.0,0.4,106.4,,117.8,115.2,110.72,102.05,0.4925,0.377,1.0,0.6,112.33,,1.8,2,2,0,0,0,109.0,128.0,0.0,1
