feature,mean_value,std_value,pred_q1,pred_q2,pred_q3,pred_q4,range_impact,abs_range_impact
home_off_vs_away_def,-0.011719999999999757,6.924315882569195,113.70435974127575,113.7365064613879,113.30581810278757,112.78881648184858,-0.9155432594271673,0.9155432594271673
home_fg_pct,0.4709661,0.02271043946712613,113.24581816435715,113.9182527574764,113.96683483544417,112.39219221738952,-0.8536259469676253,0.8536259469676253
away_rest_days,7.058,22.263796531589126,113.33340358504861,114.18255821045351,113.8977406448518,112.63826467783255,-0.6951389072160623,0.6951389072160623
away_scoring_std,11.770581080433512,2.7883485606371594,113.22871166331234,113.20350433121946,113.20547187903325,113.89781291373475,0.6691012504224148,0.6691012504224148
away_consistency,0.0822050917244236,0.018701978779762644,113.89781291373475,113.20547187903325,113.20350433121946,113.22871166331234,-0.6691012504224148,0.6691012504224148
home_clutch,0.43878214285714284,0.19204661010639387,112.79613055716754,112.94085979333425,114.41187467281601,113.41365800811131,0.6175274509437685,0.6175274509437685
away_back_to_back,0.117,0.32142028560748925,113.45580683065612,,,112.8410065415009,-0.6148002891552125,0.6148002891552125
away_clutch,0.4452777777777777,0.1993996808955437,113.10687209072904,113.26650881633805,115.11815765555671,113.58675390630438,0.4798818155753395,0.4798818155753395
variance_differential,-0.020977049238644668,3.829461475351181,113.80589225790445,113.2990500338873,113.00764286605406,113.42291562945402,-0.3829766284504217,0.3829766284504217
away_bad_night_pct,0.16225973714145892,0.029645409492841297,112.89676697974042,113.73739547248078,113.82227490014257,113.2571808532583,0.360413873517885,0.360413873517885
home_bad_night_pct,0.1628385623590055,0.030913542524308654,113.31233418165652,113.47845333967736,113.07125063954624,113.6644725700305,0.35213838837397304,0.35213838837397304
home_rest_days,7.078,22.312192093113573,113.47369321704677,113.13197539412417,113.58917075535994,113.17026161074,-0.30343160630677346,0.30343160630677346
clutch_diff,-0.006495634920634923,0.2755193545291784,112.9900649744383,113.58828177584621,113.77428574927349,113.21651863551821,0.2264536610799155,0.2264536610799155
away_off_vs_home_def,-0.008999999999999887,6.761254203178579,113.59409299427219,113.36837389069403,113.16141848632363,113.41161541600997,-0.18247757826222255,0.18247757826222255
home_q4_avg,27.5017,2.253043965394373,113.16319820282972,113.3301987500311,113.77422910202134,113.30780444422889,0.144606241399174,0.144606241399174
rest_advantage,0.02,15.85205349473689,113.30540886078221,113.52262754203088,113.1529774396755,113.43228183446472,0.12687297368250938,0.12687297368250938
home_consistency,0.08230121540961143,0.018854856659294955,113.32892501378343,113.47666362336295,113.45732515245857,113.27258699769484,-0.05633801608858846,0.05633801608858846
home_scoring_std,11.749604031194867,2.741235447165381,113.27258699769484,113.45732515245857,113.47666362336295,113.32892501378343,0.05633801608858846,0.05633801608858846
home_3pt_rate,1.0,0.0,113.38387519682496,,,,,
away_3pt_rate,1.0,0.0,113.38387519682496,,,,,
home_3pt_matchup,0.0,0.0,113.38387519682496,,,,,
away_3pt_matchup,0.0,0.0,113.38387519682496,,,,,
