feature,correlation,abs_correlation,p_value
combined_pace,0.26032893019792314,0.26032893019792314,1.3608848381542685e-58
home_avg_points,0.25166305409744155,0.25166305409744155,9.454317566883899e-55
net_rating_diff,0.23729645234373775,0.23729645234373775,1.0555842992653376e-48
away_pace,0.22889902887714994,0.22889902887714994,2.3764156185124795e-45
away_def_vs_home_style,0.22084991656447117,0.22084991656447117,2.9157311666498556e-42
away_def_rating,0.22084991656447117,0.22084991656447117,2.9157311666498556e-42
home_home_avg_pts,0.2058845268208108,0.2058845268208108,7.733413601283392e-37
home_off_rating,0.1946832733531901,0.1946832733531901,4.7891253161631186e-33
home_proxy_avg_pts,0.18743795040025069,0.18743795040025069,1.0296756100722709e-30
h2h_home_avg_score,0.18052827036470218,0.18052827036470218,1.4125350455244113e-28
away_win_pct,-0.1777112496468416,0.1777112496468416,9.934020469660383e-28
home_pace,0.1637692202866994,0.1637692202866994,9.659781668148033e-24
home_fg_pct,0.1637681463867099,0.1637681463867099,9.66632604136584e-24
home_sim_off_rating,0.14587441290961425,0.14587441290961425,4.0790035902440747e-19
home_proxy_off_rating,0.14228179391201623,0.14228179391201623,2.973468858247016e-18
home_win_pct,0.14173333836695717,0.14173333836695717,4.009045419842713e-18
h2h_home_win_pct,0.09673777112545372,0.09673777112545372,3.4770717653211746e-09
is_playoff,-0.09532575391796147,0.09532575391796147,5.860095053822113e-09
home_q4_avg,0.08875416480567304,0.08875416480567304,6.034268801841772e-08
series_game_num,-0.08265579447468156,0.08265579447468156,4.5543240371964706e-07
away_proxy_off_rating,-0.0817435964568623,0.0817435964568623,6.090044977864044e-07
away_q4_avg,0.08138208319015969,0.08138208319015969,6.827582037899844e-07
series_pressure,-0.07330860438515743,0.07330860438515743,7.744401712634564e-06
home_playoff_elevation,0.0725973738049534,0.0725973738049534,9.483469529474346e-06
away_playoff_elevation,0.07173098984262109,0.07173098984262109,1.2107761765382848e-05
away_off_rating,-0.07066619754700745,0.07066619754700745,1.628702038175149e-05
home_series_wins,-0.06938262713026008,0.06938262713026008,2.3158681239642264e-05
q4_diff_spread,0.061913742580372806,0.061913742580372806,0.00015966369402328428
home_fg3_pct,0.05887389666900652,0.05887389666900652,0.000330888263738239
away_avg_points,0.05680746288695364,0.05680746288695364,0.0005329470378419647
away_series_wins,-0.054902463889644586,0.054902463889644586,0.0008160370412575137
away_q4_diff,-0.048733495885502576,0.048733495885502576,0.002971111275250842
away_away_avg_pts,0.040946765210295256,0.040946765210295256,0.012574119942499571
home_q4_diff,0.040297653708773015,0.040297653708773015,0.014048747857630389
away_off_vs_home_def,-0.03914711669989795,0.03914711669989795,0.017040239690404177
h2h_away_avg_score,0.036244365888819345,0.036244365888819345,0.02718800427592107
home_back_to_back,-0.03620358318258346,0.03620358318258346,0.027361539048623307
away_clutch,0.03602890766820206,0.03602890766820206,0.028115652106905396
away_fg3_pct,-0.035490882656579556,0.035490882656579556,0.03055196426537537
home_def_momentum,-0.03347820762138441,0.03347820762138441,0.04133698721111456
series_wins_diff,-0.030753301703285663,0.030753301703285663,0.060930648306685445
home_consistency,-0.028124799870194745,0.028124799870194745,0.0865727503110286
home_scoring_std,0.026517075452985945,0.026517075452985945,0.1061463138793971
home_momentum,0.022027496231839673,0.022027496231839673,0.17955587305970278
home_def_rating,-0.019463522822640158,0.019463522822640158,0.23567338460250079
home_def_vs_away_style,-0.019463522822640158,0.019463522822640158,0.23567338460250079
away_consistency,-0.018545574051255346,0.018545574051255346,0.2585048175289397
clutch_diff,-0.018041993356889854,0.018041993356889854,0.2716611028313909
away_proxy_avg_pts,-0.014382828439198673,0.014382828439198673,0.3808793728906375
away_scoring_std,0.013884333608675664,0.013884333608675664,0.39760670465467646
home_off_vs_away_def,-0.013474270437187349,0.013474270437187349,0.41169305299447023
series_momentum,-0.013304717428839936,0.013304717428839936,0.4176029101899066
away_sim_off_rating,-0.012105777516849412,0.012105777516849412,0.46079634380679113
home_clutch,0.00999144950876245,0.00999144950876245,0.5427132994413874
variance_differential,0.008899013048375294,0.008899013048375294,0.5877102625596985
is_elimination,-0.008395962031154692,0.008395962031154692,0.608995038586566
h2h_games_count,0.007721514507669885,0.007721514507669885,0.638056585517124
pace_differential,0.007066462691414791,0.007066462691414791,0.6668254273278604
away_back_to_back,0.006817958806246569,0.006817958806246569,0.6778717451439953
home_rest_days,0.005472106954109736,0.005472106954109736,0.7388515018635748
away_fg_pct,-0.00465433424672701,0.00465433424672701,0.7767527553416101
rest_advantage,0.0036554941918115155,0.0036554941918115155,0.8237681765946575
away_def_momentum,0.0036006944884967433,0.0036006944884967433,0.8263676678419158
away_bad_night_pct,0.0034866565972333213,0.0034866565972333213,0.8317832661241449
away_momentum,-0.003309148036113837,0.003309148036113837,0.8402288676101941
home_bad_night_pct,-0.003111136683249373,0.003111136683249373,0.8496716596570476
away_rest_days,0.002429814750183746,0.002429814750183746,0.8823194151614685
playoff_elevation_diff,-0.0013984312203214428,0.0013984312203214428,0.9321060613466173
home_3pt_rate,,,
away_3pt_rate,,,
home_3pt_matchup,,,
away_3pt_matchup,,,
home_def_style_edge,,,
away_def_style_edge,,,
has_vegas_odds,,,
