feature,mean_value,std_value,pred_q1,pred_q2,pred_q3,pred_q4,range_impact,abs_range_impact
combined_pace,99.40617999999999,2.0310254694611785,111.24526333578694,113.59017642370159,116.61441195614377,118.94466928428818,7.699405948501237,7.699405948501237
home_avg_points,113.93039999999999,5.75888494762658,111.19101106759743,114.1907642773172,116.26342823845344,118.80149002407803,7.6104789564806055,7.6104789564806055
net_rating_diff,-0.27119000000000004,10.760484853569563,111.97748444477394,113.40682392245795,116.12606907951864,118.83853169746807,6.861047252694135,6.861047252694135
away_def_rating,114.26968,4.934448550506936,112.18411337458309,113.91040823947384,115.77303214970027,118.4888058761023,6.304692501519213,6.304692501519213
away_series_wins,0.042,0.3003930758190009,115.22587429918286,,,109.67999377405413,-5.545880525128737,5.545880525128737
home_off_rating,114.16114999999999,5.067114738931812,112.28515199466682,114.68093916491931,115.76472483724685,117.61809314738562,5.332941152718803,5.332941152718803
away_win_pct,0.5015,0.21486681921599715,118.1303778328714,114.89510032456317,113.43368732449329,113.00943717500338,-5.120940657868019,5.120940657868019
home_fg_pct,0.4709647,0.02361662897007107,112.53630924061805,115.0367520772852,115.21009598706952,117.56575183924583,5.0294425986277815,5.0294425986277815
home_win_pct,0.49179999999999996,0.21631634242469985,113.19564441860676,114.59097096598563,116.32497545845578,117.84418536069778,4.648540942091017,4.648540942091017
series_pressure,0.102,0.5546133788505286,115.27015465308746,,,110.80851155472631,-4.461643098361151,4.461643098361151
home_series_wins,0.06,0.3411744421846396,115.23860985190208,,,110.91339368483258,-4.325216167069499,4.325216167069499
series_wins_diff,0.018,0.32507845206965047,115.19309937530524,,,111.12109594259036,-4.0720034327148795,4.0720034327148795
is_playoff,0.051,0.21999772726098782,115.27563845689558,,,111.58130177374017,-3.694336683155413,3.694336683155413
series_game_num,0.153,0.7413440496827367,115.27563845689558,,,111.58130177374017,-3.694336683155413,3.694336683155413
is_elimination,0.01,0.09949874371066199,115.12132629276745,,,111.71142562148825,-3.4099006712792033,3.4099006712792033
home_q4_avg,27.417111111111108,2.3888024893936572,113.0908394489359,115.19060944456812,115.75104434598333,116.36481174918269,3.273972300246797,3.273972300246797
q4_diff_spread,-0.10746666666666664,4.123662976972575,114.18537796872188,114.39450747664512,115.37912397526611,116.40386970844703,2.2184917397251525,2.2184917397251525
away_off_rating,114.31447999999999,5.080156880412257,116.18165629928397,115.41759804166783,114.78475133030018,113.9649034729666,-2.216752826317375,2.216752826317375
home_fg3_pct,0.3606124,0.028035762629898264,113.69934533660923,115.68080416150165,115.17941396094479,115.78533456355846,2.0859892269492377,2.0859892269492377
home_q4_diff,-0.08920000000000002,2.8737060688032354,114.11519527544178,115.13435355349151,115.05875135369254,116.13399103117268,2.018795755730906,2.018795755730906
away_q4_avg,27.532322222222223,2.2838586235190266,114.20550678837697,115.52663504343282,114.54477895596062,116.07638636703705,1.8708795786600803,1.8708795786600803
clutch_diff,-0.0008730158730158734,0.2869510259302777,115.62943880511943,115.38590347958285,115.30708346428608,114.00516814973292,-1.6242706553865105,1.6242706553865105
away_q4_diff,0.018266666666666622,2.8017466171420047,115.8479164476084,115.55991747971578,114.64386294289102,114.25263831519376,-1.5952781324146343,1.5952781324146343
home_def_rating,114.38754,4.813424513628525,116.24219436910728,114.47918903678054,114.97273517583328,114.64971272572438,-1.5924816433828966,1.5924816433828966
away_bad_night_pct,0.1620010159790864,0.030553853433803433,114.45111221957207,115.22997794069568,115.2431216830031,115.7891598384006,1.3380476188285257,1.3380476188285257
away_clutch,0.43863769841269834,0.1972402926436953,114.34196837022233,115.5641919860691,116.68554934508053,115.23547872125452,0.8935103510321909,0.8935103510321909
away_avg_points,114.31020000000001,5.962614859271056,114.50880523733557,115.19036893754885,115.29478570326417,115.36557659711448,0.8567713597789179,0.8567713597789179
away_scoring_std,11.771325083265067,2.9347989152552763,114.63924683621123,115.14015827947125,115.08369154603211,115.48581248250403,0.8465656462928024,0.8465656462928024
away_consistency,0.0828498682193997,0.0211428636705947,115.48581248250403,115.08369154603211,115.14015827947125,114.63924683621123,-0.8465656462928024,0.8465656462928024
away_fg_pct,0.4710283,0.023980054401731454,115.05272244073029,115.91222543517011,115.12614212421636,114.25433190321785,-0.7983905375124465,0.7983905375124465
away_off_vs_home_def,-0.0730599999999998,6.75939473890969,115.69308095305304,115.04762811025556,114.71080325245592,114.89739682845408,-0.7956841245989636,0.7956841245989636
home_back_to_back,0.089,0.2847437444440176,115.14996472812805,,,114.4450496486516,-0.70491507947645,0.70491507947645
away_rest_days,7.057,21.853140529452514,115.30979632153323,115.2575679661305,114.98573167977324,114.63441691434014,-0.6753794071930912,0.6753794071930912
rest_advantage,-0.452,17.351417694240432,114.87057602913144,114.85658134263578,115.35059801943322,115.50796354636198,0.6373875172305361,0.6373875172305361
away_fg3_pct,0.3611333,0.027456475394886357,115.2537504039891,115.28958472708233,115.10505023179286,114.69726147127011,-0.5564889327189917,0.5564889327189917
home_off_vs_away_def,-0.10852999999999981,6.862399517595867,115.33819208773897,115.07833599579386,115.14848127544555,114.78389978524021,-0.5542923024987658,0.5542923024987658
variance_differential,0.23230105798907566,4.077782411431513,115.05452911176876,115.53748759114977,115.0689722820129,114.68792015928717,-0.36660895248158454,0.36660895248158454
home_consistency,0.08087148280892396,0.018999964687514685,115.07382497341132,115.1687072355964,115.36653789205002,114.73983904316084,-0.33398593025047774,0.33398593025047774
home_scoring_std,12.003626141254143,2.8498564320369533,114.73983904316084,115.36653789205002,115.1687072355964,115.07382497341132,0.33398593025047774,0.33398593025047774
away_back_to_back,0.127,0.33297297187609687,115.04722059484227,,,115.36223391147514,0.31501331663287147,0.31501331663287147
home_bad_night_pct,0.16272965732911795,0.031119537316650205,114.72299602955799,115.10111611933195,115.69835254026971,115.03521845488567,0.3122224253276755,0.3122224253276755
home_clutch,0.43776468253968254,0.19626372075282472,115.07303603255805,115.11209848431662,116.30424497995948,114.81072924634499,-0.2623067862130597,0.2623067862130597
home_rest_days,6.605,20.238749343771218,114.97113772273526,115.5983224445484,114.95965949115427,115.13836476118153,0.16722703844627063,0.16722703844627063
home_3pt_rate,1.0,0.0,115.08722728605467,,,,,
away_3pt_rate,1.0,0.0,115.08722728605467,,,,,
home_3pt_matchup,0.0,0.0,115.08722728605467,,,,,
away_3pt_matchup,0.0,0.0,115.08722728605467,,,,,
