feature,importance,std
combined_pace,0.10196674111265454,0.005325862624351115
net_rating_diff,0.03754944485014115,0.0025232130112822267
away_def_rating,0.03302923403482798,0.0022092689380597075
home_off_rating,0.025752662247463098,0.0015600156777135442
home_fg3_pct,0.016101052584735064,0.001868631921854484
home_avg_points,0.014672019232361633,0.0009762492765694575
home_fg_pct,0.010758755800099995,0.0010003132180766813
away_fg3_pct,0.007675328205987897,0.0007663625246420728
clutch_diff,0.0072077012196701375,0.0006222049176223683
home_rest_days,0.005996291582305624,0.0006098605582835321
away_off_rating,0.005902410934802082,0.0004908475205029987
away_fg_pct,0.0058776802086129894,0.0005677313282936175
variance_differential,0.00537243340232797,0.0004918667123066539
away_avg_points,0.005179857091397233,0.0005009218166973349
away_q4_avg,0.0049435132164097565,0.0007024132224972518
home_def_rating,0.004246649117994638,0.0006843876801091633
home_q4_avg,0.0041426178090332,0.0006062462588544295
away_off_vs_home_def,0.0037394049330484293,0.0005460177144699156
away_clutch,0.003651313650575272,0.0006285052666348375
away_q4_diff,0.003409939529614203,0.0004020323407972833
home_q4_diff,0.003362538282461758,0.00027064811093923703
home_off_vs_away_def,0.003079259424860303,0.0005556623110766378
home_consistency,0.0030711483440142074,0.00025591648277311095
rest_advantage,0.0023727347791050457,0.000262983140559933
away_consistency,0.002153667793441549,0.0003627001574428235
away_scoring_std,0.0021192740815105028,0.00032033062748373307
q4_diff_spread,0.002100667832745595,0.00029978924682975326
home_scoring_std,0.0020816612991957917,0.00032597201928293864
away_rest_days,0.0018122197066634538,0.00026582911663807884
away_bad_night_pct,0.0014812250122959614,0.00018313051447534095
home_bad_night_pct,0.0013760735374206301,0.0002493073482028838
home_win_pct,0.0013117172493680607,0.00036709513040901595
home_clutch,0.001194670176427348,0.000156373928063429
away_win_pct,0.0010633497908512756,0.00018027116495347554
series_wins_diff,0.0009165104937724156,0.00019530044686549473
home_back_to_back,0.0009026127306999476,0.00023589752239710942
series_pressure,0.000354210219771256,8.625660102730754e-05
home_series_wins,0.0003466483699389955,8.306746716039999e-05
is_elimination,0.00016318171580672613,6.0895606770779196e-05
away_back_to_back,0.00013516014007071143,4.245871066544879e-05
home_3pt_rate,0.0,0.0
away_3pt_rate,0.0,0.0
away_series_wins,0.0,0.0
home_3pt_matchup,0.0,0.0
is_playoff,0.0,0.0
series_game_num,0.0,0.0
away_3pt_matchup,0.0,0.0
