feature,importance
combined_pace,0.12695391364868597
net_rating_diff,0.0969989343608221
away_avg_points,0.0859688125951114
home_pace,0.05256876424638675
h2h_away_avg_score,0.05136363103852376
home_def_rating,0.0511249064507746
away_sim_off_rating,0.04503414686120516
away_off_rating,0.021759437030062525
home_q4_diff,0.02106065478114528
away_proxy_avg_pts,0.020793460578778792
home_def_momentum,0.0192008837340612
pace_differential,0.01760925671220009
away_fg_pct,0.015736743979291888
h2h_home_win_pct,0.014893972061069443
away_playoff_elevation,0.014822147244135348
variance_differential,0.014718262523437949
away_q4_avg,0.014717380580343806
home_def_vs_away_style,0.014203173325297653
away_fg3_pct,0.01413355038915891
home_proxy_avg_pts,0.013894624221401034
away_away_avg_pts,0.013731589694378533
away_momentum,0.012591869786989514
q4_diff_spread,0.0121168132425865
home_rest_days,0.011619916238963333
home_momentum,0.011552791063411647
away_q4_diff,0.011179939221790149
away_consistency,0.011033544852389329
away_pace,0.010205546845630388
home_off_vs_away_def,0.009819103621908751
h2h_home_avg_score,0.009737746495365142
home_off_rating,0.009670287950138311
home_fg_pct,0.009401317441460017
away_def_momentum,0.009375177441480625
rest_advantage,0.008923944056855574
home_sim_off_rating,0.008839946527442855
away_proxy_off_rating,0.008322012245408968
away_off_vs_home_def,0.008055720837349671
home_home_avg_pts,0.007979713358338646
home_proxy_off_rating,0.007522590376052086
home_avg_points,0.006822201822594512
away_rest_days,0.006611847161967416
home_fg3_pct,0.006485010303267745
h2h_games_count,0.0061917460174541125
series_game_num,0.00597500860940812
away_scoring_std,0.004943646567116227
clutch_diff,0.004816711514307506
away_win_pct,0.0041848077868596985
home_consistency,0.003925580624726996
away_def_rating,0.003751751100158995
home_q4_avg,0.0035348804217171575
home_scoring_std,0.003347970962039548
home_win_pct,0.002890064548861184
home_bad_night_pct,0.002843096119111094
away_back_to_back,0.002558173382682198
away_def_vs_home_style,0.00225013344229468
series_momentum,0.001869134294797767
home_playoff_elevation,0.0018131042811539368
home_clutch,0.001296704625292347
playoff_elevation_diff,0.0012764406956937632
home_series_wins,0.0010210937142680558
away_clutch,0.0008854703267556877
is_playoff,0.0006787463806299605
home_back_to_back,0.0005248968745767478
away_bad_night_pct,0.00026555076243099863
home_3pt_rate,0.0
series_pressure,0.0
away_3pt_rate,0.0
is_elimination,0.0
away_series_wins,0.0
home_3pt_matchup,0.0
away_3pt_matchup,0.0
away_def_style_edge,0.0
home_def_style_edge,0.0
series_wins_diff,0.0
has_vegas_odds,0.0
