feature,importance
combined_pace,0.19833835220053847
net_rating_diff,0.10449077929469178
away_def_rating,0.07891804673019166
home_off_rating,0.07159878065498584
home_avg_points,0.05996735167178838
home_fg3_pct,0.04935326833159385
home_fg_pct,0.03934297990701358
away_fg3_pct,0.02873542873480806
home_rest_days,0.02456640265927816
home_def_rating,0.023376522797705596
away_off_rating,0.022607246170968008
away_fg_pct,0.021887547768945657
clutch_diff,0.02065317040814082
variance_differential,0.01910225882376064
away_avg_points,0.01821957339047862
home_q4_diff,0.017087015461183637
away_q4_avg,0.017084060934864715
home_q4_avg,0.01698231584573463
away_off_vs_home_def,0.015564163907301127
away_clutch,0.01460360369001752
home_consistency,0.01434551973623333
home_off_vs_away_def,0.01425834310670773
home_scoring_std,0.014205482744060367
away_rest_days,0.011713459720295033
q4_diff_spread,0.011413419808372117
away_q4_diff,0.010899360873023452
away_consistency,0.009844823477785812
rest_advantage,0.009624411567495912
away_scoring_std,0.008089785720659005
away_bad_night_pct,0.006823282497476629
home_win_pct,0.0063281132887192835
home_bad_night_pct,0.005420571278280502
home_clutch,0.003650207618870752
home_back_to_back,0.0035620596772508984
away_win_pct,0.002503541835871776
series_wins_diff,0.0015885802445169863
home_series_wins,0.001168372849471026
series_pressure,0.0009322618779392329
away_back_to_back,0.0006338567839461196
is_elimination,0.0005156759090334244
home_3pt_rate,0.0
away_3pt_rate,0.0
away_series_wins,0.0
home_3pt_matchup,0.0
is_playoff,0.0
series_game_num,0.0
away_3pt_matchup,0.0
