feature,mean_value,std_value,pred_q1,pred_q2,pred_q3,pred_q4,range_impact,abs_range_impact
player_avg_points_l10,13.481599999999991,6.5395841947328694,8.322283852614147,10.902406450988863,14.389276602917914,22.0832252899867,13.760941437372553,13.760941437372553
player_avg_points_l5,13.695199999999994,6.890548378757665,8.43662706445755,11.082183347395585,14.550297807724931,21.780665526747864,13.344038462290314,13.344038462290314
player_avg_usage_l10,0.19211999999999996,0.05729353890274184,8.654182938449393,11.21684759102847,14.411864906347935,21.428744466033518,12.774561527584124,12.774561527584124
usage_rate_clean,0.19211999999999996,0.05729353890274184,8.654182938449393,11.21684759102847,14.411864906347935,21.428744466033518,12.774561527584124,12.774561527584124
player_avg_usage_l5,0.1931799999999996,0.060259966810478766,8.782770012645305,11.354982880405268,14.338270810691702,21.333304648609943,12.550534635964638,12.550534635964638
player_avg_min_l10,27.179680000000022,6.479530052218292,8.961543553796124,11.395607282419729,14.578950404763331,20.596705814961336,11.635162261165211,11.635162261165211
player_avg_tov_l10,1.5106000000000013,0.8830785016067363,9.740803510065042,11.78673072046026,14.515099905661605,20.37888523178803,10.638081721722987,10.638081721722987
player_avg_ast_l10,3.124500000000002,2.185358037027341,9.992802504086287,11.896509882520958,14.818274628960609,19.157440072981423,9.164637568895136,9.164637568895136
player_avg_ast_l5,3.1460000000000026,2.2964938493277134,10.190535313808162,11.900173433945094,14.615770081872748,19.033845759490937,8.843310445682775,8.843310445682775
player_avg_reb_l10,4.942700000000004,2.5842497383186487,10.826289537882644,13.11347724898742,15.323485029532478,16.435709994571553,5.609420456688909,5.609420456688909
player_avg_reb_l5,4.953799999999997,2.7212470597136127,11.182309293254745,13.539956474032872,14.707732428227533,16.407874436008562,5.225565142753817,5.225565142753817
player_avg_fg3_l10,0.3070154999999999,0.12900041406813398,11.234897543903251,14.050923637283882,15.623253923869724,14.623731950883666,3.388834406980415,3.388834406980415
player_avg_ts_l10,0.5757424000000004,0.08522926552681304,11.294156436899218,14.861084189176319,15.380489390100527,13.997077039764463,2.7029206028652446,2.7029206028652446
player_avg_fg_l10,0.47032289999999977,0.08898756927565792,11.477907717444525,14.829986764245968,15.524011710928141,13.70090086332189,2.222993145877364,2.222993145877364
player_avg_pm_l10,0.6453000000000001,5.208272065666307,13.763469205680202,12.622934608024506,13.164128064914221,15.986139543505699,2.2226703378254964,2.2226703378254964
player_avg_ts_l5,0.5760472000000004,0.1081212013074217,11.497104229799534,14.984440891773342,15.421576554848325,13.629685379519323,2.1325811497197886,2.1325811497197886
opp_def_rating,114.38261999999986,5.039841578422878,13.50743769518132,14.0317059671428,13.748242917715052,14.243152771505931,0.7357150763246114,0.7357150763246114
ts_momentum,0.00030480000000000014,0.06871808813522094,12.117275427512464,15.545136901167938,15.116402340843422,12.753992386416702,0.6367169589042376,0.6367169589042376
team_off_rating,115.01126000000006,5.142851447630973,13.719201184115104,13.456553863106059,14.10825287766704,14.250926030437611,0.5317248463225077,0.5317248463225077
points_momentum,0.2136000000000002,2.0713944675025084,14.493646030259871,12.32309187928447,13.597757628081693,15.025311564590032,0.5316655343301608,0.5316655343301608
usage_momentum,0.00106,0.016979411061635814,13.712993807055224,13.771575156738606,14.035069607305498,14.02519137854858,0.3121975714933569,0.3121975714933569
is_playoff,0.05,0.21794494717703283,13.875160876229529,,,14.035978631341575,0.16081775511204555,0.16081775511204555
off_environment,0.6286399999999988,6.843268922846744,13.765685489103129,14.214047979842936,13.69289840350052,13.858090585188569,0.09240509608543945,0.09240509608543945
pace_factor,1.0132382653061218,0.026593757815668573,13.671962310550256,13.859930163276287,14.2743563866049,13.72392014906722,0.05195783851696412,0.05195783851696412
opp_pace,99.29735000000004,2.606188265935521,13.671962310550256,13.859930163276287,14.2743563866049,13.72392014906722,0.05195783851696412,0.05195783851696412
is_home,0.493,0.49995099759876593,13.844889096718694,,13.922602417745951,,,
player_avg_efg_l10,0.5,0.0,13.883201763985133,,,,,
player_avg_oreb_pct_l10,0.049999999999999295,7.077671781985373e-16,13.883201763985133,,,,,
player_avg_dreb_pct_l10,0.15000000000000283,2.831068712794149e-15,13.883201763985133,,,,,
player_avg_ast_pct_l10,0.15000000000000283,2.831068712794149e-15,13.883201763985133,,,,,
player_avg_net_rating_l10,0.0,0.0,13.883201763985133,,,,,
player_avg_off_rating_l10,110.0,0.0,13.883201763985133,,,,,
